column_id,original_question,excel_index
c50_以上均未设立,3 (以上均未设立),50
c51_已设立哪些独立的科技团队或部门_含二级部门_信息科,3.2已设立哪些独立的科技团队或部门（含二级部门）？(信息科技部),51
c52_数字金融部,3.2(数字金融部),52
c53_数据管理部_科技型,3.2(数据管理部（科技型）),53
c54_信息安全部,3.2(信息安全部),54
c55_科技风险管理部,3.2(科技风险管理部),55
c56_业务内嵌的双线管理团队,3.2(业务内嵌的双线管理团队),56
c57_业务部门直属的科技团队,3.2(业务部门直属的科技团队),57
c58_无任何独立的科技团队_职能由公司综合部门或母公司统,3.2(无任何独立的科技团队，职能由公司综合部门或母公司统一负责),58
c59_多地域信息科技团队或部门_2个及以上城市,3.2(多地域信息科技团队或部门（2个及以上城市）),59
c60_其他,3.2(其他：),60
c61_发文_或制度_明确的数字化转型工作牵头部门是,3.3发文（或制度）明确的数字化转型工作牵头部门是？,61
c62_发文_或制度_明确的数据治理工作牵头部门是,3.4发文（或制度）明确的数据治理工作牵头部门是？,62
c63_发文_或制度_明确的科技风险管理的牵头部门是,3.5发文（或制度）明确的科技风险管理的牵头部门是？,63
c64_发文_或制度_明确的个人信息安全保护工作的牵头部门,3.6发文（或制度）明确的个人信息安全保护工作的牵头部门是？,64
c65_是否设立了首席信息官CIO,3.7是否设立了首席信息官CIO？,65
c66_若已设立_首席信息官CIO是否为公司高级管理层成员,若已设立，首席信息官CIO是否为公司高级管理层成员？,66
c67_在科技重大项目的决策方面_最接近以下哪种模式_战略,3.8在科技重大项目的决策方面，最接近以下哪种模式？(战略集中型。最高决策层（如董事会、办公会）集中审批，采购以公开招标、比选为主，强调规范与集中管控。),67
c68_科技主导型_信息科技管理委员会或CIO拥有主要决策,3.8(科技主导型。信息科技管理委员会或CIO拥有主要决策权，采购以技术方案为导向。),68
c69_业务驱动型_业务部门驱动立项_审批灵活_如_一事一,3.8(业务驱动型。业务部门驱动立项，审批灵活（如“一事一议”），采购方式多样，以满足业务时效为首要目标。),69
c70_分层授权型_按项目金额或重要性分级审批_不同层级对,3.8(分层授权型。按项目金额或重要性分级审批，不同层级对应不同的采购流程，兼顾效率与控制。),70
c71_近五年内_科技团队_人员是否获得过本公司授予的科技,3.9近五年内，科技团队/人员是否获得过本公司授予的科技专项奖励？(技术创新奖（含因获得专利、论文而授予的奖励）),71
c72_重大项目奖,3.9(重大项目奖),72
c73_技能认证补贴_奖励_如获得高级职称_CISSP等,3.9(技能认证补贴/奖励（如获得高级职称、CISSP等）),73
c74_其他,3.9(其他：),74
c75_无,3.9(无),75
c76_薪酬结构中是否设有科技人员专有的科技岗位津贴项_有,3.10薪酬结构中是否设有科技人员专有的科技岗位津贴项？(有),76
c77_无,3.1(无),77
c78_是否已为科技与业务人才的双向流动与融合建立了正式机,3.11是否已为科技与业务人才的双向流动与融合建立了正式机制？,78
c79_近五年内_科技人员成功转岗至以下哪些业务岗位_财富,3.12近五年内，科技人员成功转岗至以下哪些业务岗位？(财富顾问/理财经理岗),79
c80_客户服务岗,3.1(客户服务岗),80
c81_信托经理岗,3.1(信托经理岗),81
c82_投资岗,3.1(投资岗),82
c83_业务运营岗,3.1(业务运营岗),83
c84_风险_合规岗,3.1(风险/合规岗),84
c85_其他业务岗,3.1(其他业务岗),85
c86_无实际转岗案例,3.1(无实际转岗案例),86
c87_公司已获得以下哪些科技专项认证_证书_ISO_IE,3.13公司已获得以下哪些科技专项认证/证书？(ISO/IEC 27001),87
c88_ISO_IEC_9001,3.1(ISO/IEC 9001),88
c89_ITSS_信息技术服务标准,3.1(ITSS（信息技术服务标准）),89
c90_CMMI,3.1(CMMI),90
c91_CSMM,3.1(CSMM),91
c92_DCMM,3.1(DCMM),92
c93_DSMM,3.1(DSMM),93
c94_其他,3.1(其他：),94
c95_目前已获取下列哪些业务资质或成员资格_特定目的信托,3.14目前已获取下列哪些业务资质或成员资格？(特定目的信托受托机构资格),95
c96_全国银行间同业拆借市场交易资格,3.1(全国银行间同业拆借市场交易资格),96
c97_全国银行间债券市场业务资格,3.1(全国银行间债券市场业务资格),97
c98_私募投资基金管理人资格,3.1(私募投资基金管理人资格),98
c99_中国银行间市场交易商协会会员,3.1(中国银行间市场交易商协会会员),99
c100_股指期货交易业务资格,3.1(股指期货交易业务资格),100
c101_受托境外理财业务资格_QDII,3.1(受托境外理财业务资格（QDII）),101
c102_非金融企业债务融资工具承销业务资格,3.1(非金融企业债务融资工具承销业务资格),102
c103_企业年金基金管理机构资格,3.1(企业年金基金管理机构资格),103
c104_自有资金参与网下IPO申购资格,3.1(自有资金参与网下IPO申购资格),104
c105_其他_1,3.1(其他：).1,105
c106_基础设施架构和云平台战略与架构1_1当前基础设施架,1.基础设施架构和云平台战略与架构1.1当前基础设施架构模式为？,106
c107_其中_自有机房的总机柜数_主机房,(1)其中，自有机房的总机柜数：主机房___,107
c108_个_灾备_双活机房,(2) 个，灾备/双活机房：___,108
c109_个_若涉及云化_混合架构_云平台年度费用约_万元,(3)个。若涉及云化/混合架构，云平台年度费用约：___万元。,109
c110_已部署的服务器虚拟化或云平台_超融合_基础设施是_,1.2已部署的服务器虚拟化或云平台（超融合）基础设施是？(未部署),110
c111_VMware_VSphere,1.2(VMware VSphere),111
c112_华为_FusionSphere,1.2(华为 FusionSphere),112
c113_深信服_HCI,1.2(深信服 HCI),113
c114_其他,1.2(其他：),114
c115_已部署的桌面虚拟化_VDI_解决方案包括_未部署,1.3已部署的桌面虚拟化（VDI）解决方案包括？(未部署),115
c116_VMware,1.3(VMware),116
c117_Citrix,1.3(Citrix),117
c118_华为云桌面,1.3(华为云桌面),118
c119_深信服aDesk,1.3(深信服aDesk),119
c120_其他,1.3(其他：),120
c121_已部署并使用的公有云平台包括_未使用公有云平台,1.4已部署并使用的公有云平台包括？(未使用公有云平台),121
c122_阿里云,1.4(阿里云),122
c123_腾讯云,1.4(腾讯云),123
c124_华为云,1.4(华为云),124
c125_移动云,1.4(移动云),125
c126_天翼云,1.4(天翼云),126
c127_联通云,1.4(联通云),127
c128_其他,1.4(其他：),128
c129_是否已部署专业的内网文件服务器或企业网盘系统,1.5是否已部署专业的内网文件服务器或企业网盘系统？,129
c130_商业软件版本升级及应用系统安全补丁的主要管理方式是,1.6商业软件版本升级及应用系统安全补丁的主要管理方式是？,130
c131_信创转型与进展2_1在信息技术应用创新_信创_方面,2.信创转型与进展2.1在信息技术应用创新（信创）方面的进展是？,131
c132_若已启动_当前信创系统的占比情况为,(1)若已启动，当前信创系统的占比情况为：___ %,132
c133_在信创建设中_已采用或计划采用以下哪些品牌_信创芯,2.2在信创建设中，已采用或计划采用以下哪些品牌？信创芯片：(飞腾),133
c134_鲲鹏,2.2(鲲鹏),134
c135_海光,2.2(海光),135
c136_龙芯,2.2(龙芯),136
c137_其他,2.2(其他),137
c138_服务器_华为,服务器：(华为),138
c139_新华三,48(新华三),139
c140_浪潮,48(浪潮),140
c141_中科曙光,48(中科曙光),141
c142_联想,48(联想),142
c143_其他,48(其他：),143
c144_操作系统_麒麟软件,操作系统：(麒麟软件),144
c145_统信软件,49(统信软件),145
c146_中科方德,49(中科方德),146
c147_华为欧拉,49(华为欧拉),147
c148_其他,49(其他：),148
c149_数据库_达梦,数据库：(达梦),149
c150_人大金仓,50(人大金仓),150
c151_神舟通用,50(神舟通用),151
c152_南大通用,50(南大通用),152
c153_华为高斯,50(华为高斯),153
c154_其他,50(其他：),154
c155_中间件_东方通,中间件：(东方通),155
c156_中创软件,51(中创软件),156
c157_金蝶天燕,51(金蝶天燕),157
c158_其他,51(其他：),158
c159_上级单位或金融监管机构对信创改造设定的最晚完成时间,2.3上级单位或金融监管机构对信创改造设定的最晚完成时间是？,159
c160_高新技术的应用情况_请评估以下技术在贵公司的应用状,3.高新技术的应用情况（请评估以下技术在贵公司的应用状态及其主要业务场景）3.1在人工智能方面：（1）当前已在哪些业务领域有AI技术的实际应用？(智能风控与合规：如合规自动审查、监管报送等。),160
c161_客户服务与营销_如智能客服等,3 (客户服务与营销：如智能客服等。),161
c162_智能运营与内部管理_如AI辅助内部审计等,3 (智能运营与内部管理：如AI辅助内部审计等。),162
c163_投资与资产管理_如智能投研_风险预警等,3 (投资与资产管理：如智能投研、风险预警等。),163
c164_科技研发增效与管理_如编码辅助_自动化测试_需求分,3 (科技研发增效与管理：如编码辅助、自动化测试、需求分析、系统运维等。),164
c165_其他,3 (其他：),165
c166_暂无投产的应用场景,3 (暂无投产的应用场景),166
c167_在大数据管理方面_1_大数据技术已在以下哪些业务领,3.2在大数据管理方面：（1）大数据技术已在以下哪些业务领域形成实质性应用？(客户洞察与精准营销（如客户画像、产品推荐、流失预警）),167
c168_风险管理与合规控制_如风险指标监控_反洗钱_合规自,3.2(风险管理与合规控制（如风险指标监控、反洗钱、合规自动审查）),168
c169_监管报送与数据治理_如监管报表自动化_数据质量监控,3.2(监管报送与数据治理（如监管报表自动化、数据质量监控）),169
c170_投资研究与资产配置_如市场分析_投研支持_量化模型,3.2(投资研究与资产配置（如市场分析、投研支持、量化模型）),170
c171_内部运营优化_如运营效率分析_成本控制,3.2(内部运营优化（如运营效率分析、成本控制）),171
c172_经营分析与决策支持_如经分系统_管理驾驶舱等,3.2(经营分析与决策支持（如经分系统、管理驾驶舱等）),172
c173_其他_1,3.2(其他：).1,173
c174_尚无实质性应用,3.2(尚无实质性应用),174
c175_在云原生方面_1_云原生技术_如容器_微服务_De,3.3在云原生方面：（1）云原生技术（如容器、微服务、DevOps）的应用处于以下哪个阶段？(核心系统已规模化应用（已在关键业务系统全面采用容器化、微服务架构）),175
c176_局部业务试点应用_已在部分非核心业务系统开展试点,3.3(局部业务试点应用（已在部分非核心业务系统开展试点）),176
c177_技术研究与方案规划中_已开展技术调研_但未实际部署,3.3(技术研究与方案规划中（已开展技术调研，但未实际部署）),177
c178_暂未涉及,3.3(暂未涉及),178
c179_2_在应用系统采购中_对供应商采用容器化交付的要求,（2）在应用系统采购中，对供应商采用容器化交付的要求是？,179
c180_在区块链方面_1_区块链技术的应用处于以下哪个阶段,3.4在区块链方面：（1）区块链技术的应用处于以下哪个阶段？(已有生产级应用（已在资产溯源、存证或合约管理等核心业务中实际使用）),180
c181_处于概念验证阶段_已完成技术验证或试点项目_尚未规,3.4(处于概念验证阶段（已完成技术验证或试点项目，尚未规模化应用）),181
c182_仍在研究评估中_已关注并研究_但未启动具体项目,3.4(仍在研究评估中（已关注并研究，但未启动具体项目）),182
c183_暂未涉及,3.4(暂未涉及),183
c184_业务应用系统建设情况1_1已投入使用的信息系统包括,1.业务应用系统建设情况1.1已投入使用的信息系统包括以下哪些？(资产管理业务系统),184
c185_标品投资交易系统,1 (标品投资交易系统),185
c186_非标债权管理系统,1 (非标债权管理系统),186
c187_产品估值与核算系统,1 (产品估值与核算系统),187
c188_投资决策支持系统,1 (投资决策支持系统),188
c189_家族信托管理系统,1 (家族信托管理系统),189
c190_保险金信托管理系统,1 (保险金信托管理系统),190
c191_家庭服务信托管理系统,1 (家庭服务信托管理系统),191
c192_企业财富服务信托管理系统,1 (企业财富服务信托管理系统),192
c193_预付类资金服务信托管理系统,1 (预付类资金服务信托管理系统),193
c194_个人财富服务信托系统,1 (个人财富服务信托系统),194
c195_资管产品受托服务系统,1 (资管产品受托服务系统),195
c196_企业年金受托服务系统,1 (企业年金受托服务系统),196
c197_担保品受托服务系统,1 (担保品受托服务系统),197
c198_资产证券化服务信托系统,1 (资产证券化服务信托系统),198
c199_风险处置服务信托系统,1 (风险处置服务信托系统),199
c200_慈善信托管理系统,1 (慈善信托管理系统),200
c201_公益信托管理系统,1 (公益信托管理系统),201
c202_统一客户管理系统,1 (统一客户管理系统),202
c203_信托项目管理系统,1 (信托项目管理系统),203
c204_合规管理系统,1 (合规管理系统),204
c205_反洗钱系统,1 (反洗钱系统),205
c206_数据平台_数据中台,1 (数据平台/数据中台),206
c207_接口管理平台,1 (接口管理平台),207
c208_监管报送系统,1 (监管报送系统),208
c209_业务档案管理系统,1 (业务档案管理系统),209
c210_独立的人力资源管理系统,1 (独立的人力资源管理系统),210
c211_当前运行的信息系统中_自研系统_合作开发_外采系统,(1)当前运行的信息系统中，自研系统、合作开发、外采系统的大致数量比例为？自研系统：占比：___,211
c212_合作开发,(2) %，合作开发：___,212
c213_外采系统,(3)%，外采系统：___%,213
c214_未来3_5年_计划重点投入科技资源的业务方向为_资,1.2未来3-5年，计划重点投入科技资源的业务方向为？(资产管理信托),214
c215_资产服务信托,1.2(资产服务信托),215
c216_公益慈善信托,1.2(公益慈善信托),216
c217_风险管理与合规科技,1.2(风险管理与合规科技),217
c218_运营整合与效率提升,1.2(运营整合与效率提升),218
c219_其他_1,1.2(其他：).1,219
c220_是否建设与托管账户资金拨付系统,1.3是否建设与托管账户资金拨付系统？,220
c221_是否建设固有账户资金拨付系统,1.4是否建设固有账户资金拨付系统？,221
c222_数字化客户服务渠道2_1已提供哪些数字化客户服务_,2.数字化客户服务渠道2.1已提供哪些数字化客户服务/交易渠道？(移动APP),222
c223_微信小程序,2 (微信小程序),223
c224_公众号服务,2 (公众号服务),224
c225_网站,2 (网站),225
c226_其他,2 (其他:),226
c227_已提供哪些数字化客户服务_交易功能_远程视频面签,2.2已提供哪些数字化客户服务/交易功能？(远程视频面签),227
c228_智能双录,2.2(智能双录),228
c229_智能客服_7x24小时,2.2(智能客服（7x24小时）),229
c230_电子合同,2.2(电子合同),230
c231_线上划款,2.2(线上划款),231
c232_其他,2.2(其他：),232
c233_每年对客端的投入约为,(1)每年对客端的投入约为___,233
c234_万元_其中_APP,(2) 万元。其中：APP___,234
c235_万元_小程序,(3)万元，小程序___,235
c236_万元_其他_万元,(4)万元，其他___万元。,236
c237_资产管理和风控体系道3_1针对_资产管理信托管理办,3.资产管理和风控体系道3.1针对《资产管理信托管理办法（征求意见稿）》，是否已开展相关业务系统改造影响分析及系统改造？,237
c238_数据治理与效能1_1是否已建成企业级数据中台_统一,1.数据治理与效能1.1是否已建成企业级数据中台/统一数据平台？,238
c239_数据质量管理的现状是,1.2数据质量管理的现状是？,239
c240_数据接口标准化建设情况为,1.3数据接口标准化建设情况为？,240
c241_是否已制定企业级的数据分类分级标准,1.4是否已制定企业级的数据分类分级标准？,241
c242_是否在系统中对数据敏感性_如客户个人信息等_实施了,1.5是否在系统中对数据敏感性（如客户个人信息等）实施了差异化的安全管控措施？,242
c243_是否已建立企业级统一数据模型,1.6是否已建立企业级统一数据模型？,243
c244_数据标准制定及在源头系统落标情况,1.7数据标准制定及在源头系统落标情况？,244
c245_是否已在企业中就数据标准管理和数据质量管理进行认责,1.8是否已在企业中就数据标准管理和数据质量管理进行认责和分工？,245
c246_是否已设计和推广了完整的数据治理规章制度,1.9是否已设计和推广了完整的数据治理规章制度？,246
c247_已针对以下哪些特定业务领域进行过专项数据治理_监管,1.10已针对以下哪些特定业务领域进行过专项数据治理？(监管报送),247
c248_客户与营销数据,1.1(客户与营销数据),248
c249_财务管理数据,1.1(财务管理数据),249
c250_资产和产品数据,1.1(资产和产品数据),250
c251_运营数据,1.1(运营数据),251
c252_业务交易数据,1.1(业务交易数据),252
c253_尚未进行过专项数据治理工作,1.1(尚未进行过专项数据治理工作),253
c254_数据安全管控2_1数据防泄露_DLP_措施覆盖情况,2.数据安全管控2.1数据防泄露（DLP）措施覆盖情况为？,254
c255_数据安全风险评估工作开展情况为,2.2数据安全风险评估工作开展情况为？,255
c256_网络安全核心领域的建设现状与覆盖情况1_1办公网络,1.网络安全核心领域的建设现状与覆盖情况1.1办公网络与业务网络的隔离模式，最符合以下哪种情况？,256
c257_是否已部署统一身份认证平台,1.2是否已部署统一身份认证平台？,257
c258_对内部系统_包括核心业务系统与一般管理系统_的登录,1.3对内部系统（包括核心业务系统与一般管理系统）的登录认证要求是？,258
c259_信息系统_包括自建_合作方提供_采用国密算法_SM,1.4信息系统（包括自建、合作方提供）采用国密算法（SM2/SM3/SM4）的情况？,259
c260_是否已正式启动商用密码应用安全性评估_密评_工作,1.5是否已正式启动商用密码应用安全性评估（密评）工作？,260
c261_各类安全设备_系统_如防火墙_终端防护_WAF_的,1.6各类安全设备/系统（如防火墙、终端防护、WAF）的策略管理方式是？,261
c262_为提升网络安全防护能力_是否已应用以下创新技术_如,1.7为提升网络安全防护能力，是否已应用以下创新技术（如AI、大数据分析、自动化响应等）？,262
c263_支持远程办公的技术方案是_尚未支持远程办公,1.8支持远程办公的技术方案是？(尚未支持远程办公),263
c264_零信任技术_SDP,1.8(零信任技术（SDP）),264
c265_传统VPN_SSL_IPsec,1.8(传统VPN（SSL/IPsec）),265
c266_虚拟化桌面技术_VDI_或DaaS,1.8(虚拟化桌面技术（VDI、或DaaS）),266
c267_远程桌面服务_RDS,1.8(远程桌面服务（RDS）),267
c268_其他,1.8(其他：),268
c269_网络安全监测与预警2_1是否建立了集中的安全运营中,2.网络安全监测与预警2.1是否建立了集中的安全运营中心（SOC）并开展7x24小时的安全监控？,269
c270_在网络安全重点保障期间_对业务系统或互联网信息系统,2.2在网络安全重点保障期间，对业务系统或互联网信息系统采取的主要保障措施是？,270
c271_在此期间_是否关停部分或全部互联网信息系统_特定时,2.3在此期间，是否关停部分或全部互联网信息系统（特定时段或全时段）？,271
c272_科技风险监测关键指标1_1是否已系统化制定科技风险,1.科技风险监测关键指标1.1是否已系统化制定科技风险监测的关键风险指标（KRI）？,272
c273_设定的科技风险关键风险指标_KRI_数量及排查频率,1.2设定的科技风险关键风险指标（KRI）数量及排查频率是？,273
c274_若已制定_科技风险关键指标主要参考下列哪项为核心依,1.3若已制定，科技风险关键指标主要参考下列哪项为核心依据？(监管要求及行业标准（如《银行业金融机构全面风险管理指引》）),274
c275_公司内部历史风险事件分析,1.3(公司内部历史风险事件分析),275
c276_基于业务特点定制的风险评估结果,1.3(基于业务特点定制的风险评估结果),276
c277_同业最佳实践,1.3(同业最佳实践),277
c278_对科技风险关键指标的监测与排查频率是,1.4对科技风险关键指标的监测与排查频率是？,278
c279_科技风险管理职责2_1信息科技风险管理的_三道防线,2.科技风险管理职责2.1信息科技风险管理的“三道防线”职责是否清晰并有效落地？,279
c280_业务连续性成熟度3_1应急演练对业务系统的覆盖范围,3.业务连续性成熟度3.1应急演练对业务系统的覆盖范围与实战化程度是？,280
c281_预算执行阶段_对于已批复预算内的采购项目_常见做法,1.1预算执行阶段，对于已批复预算内的采购项目，常见做法是？,281
c282_关于单一来源采购的决策流程是,1.2关于单一来源采购的决策流程是？,282
c283_针对持续性_有延续性的_比如_应用系统运维_项目_,1.3针对持续性、有延续性的（比如：应用系统运维）项目，主要的采购模式是？,283
c284_对于服务器_网络设备_防火墙等关键硬件设备_最主要,1.4对于服务器、网络设备、防火墙等关键硬件设备，最主要的维保策略是？,284
c285_项目管理机制与能效1_1使用什么工具进行科技项目的,1.项目管理机制与能效1.1使用什么工具进行科技项目的进度、任务和文档的协同管理？(TAPD/阿里云云效等云平台),285
c286_SVN_禅道等本地部署第三方平台,1 (SVN、禅道等本地部署第三方平台),286
c287_自研科技项目管理平台,1 (自研科技项目管理平台),287
c288_其他,1 (其他：),288
c289_外包资源管理与供应商合作2_1针对现有建设中或运维,2.外包资源管理与供应商合作2.1针对现有建设中或运维中系统，主要的合作供应商为？(恒生电子),289
c290_金证股份,2 (金证股份),290
c291_软通动力,2 (软通动力),291
c292_顶点,2 (顶点),292
c293_中顺易,2 (中顺易),293
c294_兆尹,2 (兆尹),294
c295_中科金,2 (中科金),295
c296_东华,2 (东华),296
c297_信加,2 (信加),297
c298_致宇,2 (致宇),298
c299_衡泰,2 (衡泰),299
c300_盈丰,2 (盈丰),300
c301_赢时胜,2 (赢时胜),301
c302_上海罗盘,2 (上海罗盘),302
c303_广州海捷,2 (广州海捷),303
c304_其他,2 (其他：),304
c305_对核心系统供应商的是否有常态化评估机制,2.2对核心系统供应商的是否有常态化评估机制？,305
c306_质量控制与交付物管理3_1如何监控项目关键里程碑和,3.质量控制与交付物管理3.1如何监控项目关键里程碑和整体进度？,306
c307_项目中包含哪些常态化的质量保证活动_原型设计,3.2项目中包含哪些常态化的质量保证活动？(原型设计),307
c308_数据建模,3.2(数据建模),308
c309_代码审查,3.2(代码审查),309
c310_自动化测试,3.2(自动化测试),310
c311_安全漏洞扫描,3.2(安全漏洞扫描),311
c312_阶段性质量审计,3.2(阶段性质量审计),312
c313_性能压测,3.2(性能压测),313
c314_需求跟踪与验收测试,3.2(需求跟踪与验收测试),314
c315_配置管理与版本控制,3.2(配置管理与版本控制),315
c316_文档规范与知识管理,3.2(文档规范与知识管理),316
c317_其他_2,3.2(其他：).2,317
c318_如何管理外包项目中的信息安全与合规风险_签订严格的,3.3如何管理外包项目中的信息安全与合规风险？(签订严格的保密协议和信息安全责任书),318
c319_外包人员访问权限遵循最小化原则并定期审计,3.3(外包人员访问权限遵循最小化原则并定期审计),319
c320_对代码仓库_敏感数据操作有严格的日志监控,3.3(对代码仓库、敏感数据操作有严格的日志监控),320
c321_对开发过程进行安全编码规范和要求,3.3(对开发过程进行安全编码规范和要求),321
c322_您认为当前贵公司在推进金融科技建设与数字化转型过程,您认为当前贵公司在推进金融科技建设与数字化转型过程中面临的最大挑战是什么？(科技投入预算不足),322
c323_复合型科技与业务人才短缺,106(复合型科技与业务人才短缺),323
c324_数据基础差_整合难度高_存在数据孤岛,106(数据基础差、整合难度高、存在数据孤岛),324
c325_历史系统包袱重_架构转型困难,106(历史系统包袱重，架构转型困难),325
c326_业务与科技融合难度大,106(业务与科技融合难度大),326
c327_缺乏清晰的行业标准或指引,106(缺乏清晰的行业标准或指引),327
c328_其他,106(其他:),328
c329_您认为当前公司在科技人才发展中面临的最大挑战是_人,您认为当前公司在科技人才发展中面临的最大挑战是？(人才吸引与保留难),329
c330_技能结构与业务脱节,107(技能结构与业务脱节),330
c331_培养体系不健全,107(培养体系不健全),331
c332_业务融合深度不足,107(业务融合深度不足),332
c333_激励机制效果有限,107(激励机制效果有限),333
c334_团队管理与文化挑战,107(团队管理与文化挑战),334
c335_其他,107(其他:),335
c336_备注,备注,336
